id,date,description,amount,category
1,2025-06-14,MRI CENTER 58025,48.94,Healthcare
2,2025-09-21,TWITCH.TV SUB 12577,6.7,Entertainment
3,2026-04-06,ONLINE PMT 2231964,367.07,Ambiguous
4,2026-03-27,HBO MAX 310668,24.18,Entertainment
5,2026-02-15,DISNEY+ 7524377,22.79,Entertainment
6,2025-10-20,SECURITY DEPOSIT 50533,516.66,Housing
7,2026-03-11,PARKRIGHT 76838,10.51,Transport
8,2025-08-17,CHIROPRACTOR 7058,69.06,Healthcare
9,2026-01-14,PARKRIGHT 79599,34.89,Transport
10,2025-07-02,COSTCO WHSE #7272,361.85,Shopping
11,2025-08-11,INTERNET SVC 82417,141.61,Utilities
12,2026-04-18,XFINITY INTERNET,91.23,Utilities
13,2026-05-03,APPLE TV+ 4969357,6.75,Entertainment
14,2026-02-26,DUNKIN #9177,34.42,Food
15,2025-12-03,LANDLORD TRANSFER 799813,1445.18,Housing
16,2025-09-01,AMAZON.COM*878293102,168.15,Shopping
17,2025-10-30,ESPN+ SUBSCRIPTION,35.35,Entertainment
18,2025-08-01,UDEMY COURSE 2356972,699.26,Education
19,2025-11-19,ACE HARDWARE 9184,1411.25,Housing
20,2025-08-08,MRI CENTER 57287,166.81,Healthcare
21,2025-08-21,GREYHOUND BUS 04699,110.89,Transport
22,2025-05-25,CHEVRON 1543,54.03,Transport
23,2025-11-01,AMC THEATRES #5439,34.85,Entertainment
24,2025-08-04,XFINITY INTERNET,68.12,Utilities
25,2026-01-07,CITY BUS PASS 157,63.13,Transport
26,2026-01-07,T-MOBILE 819523,205.29,Utilities
27,2025-11-11,SCHOOL SUPPLIES 1342,170.83,Education
28,2025-12-11,TOLL PAYMENT 636580,102.36,Transport
29,2026-05-09,LOWES #8485,1001.67,Housing
30,2025-06-13,TACO BELL #18961,29.24,Food
31,2025-10-15,PLAYSTATION STORE,16.93,Entertainment
32,2025-06-25,KHAN ACADEMY,192.06,Education
33,2025-07-05,DOORDASH *FOOD 6634,25.44,Food
34,2025-09-21,BEST BUY #3009,292.85,Shopping
35,2025-12-07,TACO BELL #963,68.74,Food
36,2025-10-18,UBER EATS 84337,34.42,Food
37,2025-12-13,CODECADEMY PRO,560.87,Education
38,2025-09-21,PLUMBER SVC 7732,483.66,Housing
39,2026-03-18,SHEIN ORDER 0048964,376.34,Shopping
40,2026-04-13,INTERNET SVC 63410,225.29,Utilities
41,2025-10-04,ENTERPRISE RENT-A-CAR 9409,17.29,Transport
42,2026-04-22,XBOX GAME PASS,27.82,Entertainment
43,2026-01-09,KOHLS #6670,148.14,Shopping
44,2025-12-19,TARGET #8612,316.34,Shopping
45,2025-06-25,PARKING METER 7422,74.49,Transport
46,2026-03-02,ONLINE PMT 3012047,216.32,Ambiguous
47,2025-10-17,MASTERCLASS SUB,128.3,Education
48,2025-06-19,UBER EATS 63356,13.72,Food
49,2026-01-11,DUOLINGO PLUS,617.03,Education
50,2026-05-01,SOLAR PANEL PMT 43161,81.65,Utilities
51,2025-06-10,HEALTH INS PMT 16224,461.39,Healthcare
52,2025-11-25,WATER UTILITY 26682,115.17,Utilities
53,2025-07-05,NATIONAL RAIL 115083,139.58,Transport
54,2025-10-04,MRI CENTER 01557,344.91,Healthcare
55,2026-01-20,URGENT CARE 6769,400.14,Healthcare
56,2025-08-06,SPECTRUM 38856,199.09,Utilities
57,2025-05-19,METRO TRANSIT 69847,82.17,Transport
58,2025-09-13,PHYSICAL THERAPY 5851,194.56,Healthcare
59,2026-05-09,KFC #74325,18.88,Food
60,2026-02-15,COMCAST #26758,51.38,Utilities
61,2026-03-17,MENARDS #2966,960.39,Housing
62,2026-03-06,AMAZON.COM*663193149,372.27,Shopping
63,2026-05-08,WASTE MGMT 08031,199.59,Utilities
64,2026-01-13,COSTCO WHSE #1111,277.86,Shopping
65,2025-08-02,LABCORP 3166587,200.77,Healthcare
66,2025-07-13,PEST CONTROL 6480,1769.31,Housing
67,2026-02-21,RECURRING CHG 48963,467.7,Ambiguous
68,2025-09-26,APPLE TV+ 2940196,10.19,Entertainment
69,2025-10-17,LOCAL BAKERY 043,15.13,Food
70,2026-03-01,SHEIN ORDER 1725135,96.15,Shopping
71,2025-10-17,JUST EAT 798515,68.24,Food
72,2025-08-27,POS PURCHASE 60055,478.75,Ambiguous
73,2025-12-14,GRUBHUB ORDER 244795,20.54,Food
74,2026-03-27,IKEA 431290,612.79,Housing
75,2025-10-29,SOLAR PANEL PMT 73660,137.79,Utilities
76,2025-08-03,WATER UTILITY 40733,84.1,Utilities
77,2025-12-20,VISION CENTER #708,122.56,Healthcare
78,2025-11-17,NORDSTROM #2250,324.3,Shopping
79,2026-05-07,LABCORP 1324754,423.78,Healthcare
80,2025-11-07,MENTAL HLTH SVCS 5276,479.89,Healthcare
81,2025-11-15,APARTMENT FEES 9027,945.58,Housing
82,2025-05-18,YOUTUBE PREMIUM,34.52,Entertainment
83,2025-06-17,TUTORING SVC 7758,108.65,Education
84,2026-03-04,MINT MOBILE 77828,180.78,Utilities
85,2025-06-16,AUDIBLE CHARGE,17.41,Entertainment
86,2025-07-01,CAMPUS BOOKSTORE 6231,543.9,Education
87,2026-03-16,CENTURYLINK 751474,152.16,Utilities
88,2026-01-20,HEALTH INS PMT 87158,406.39,Healthcare
89,2025-12-29,APPLE.COM/BILL,340.56,Shopping
90,2025-08-04,COMCAST #41098,89.98,Utilities
91,2026-05-01,BURGER KING #4421,70.1,Food
92,2025-10-23,HOSPITAL BILL 154214,441.6,Healthcare
93,2026-01-06,PEARSON EBOOK 858549,766.21,Education
94,2025-08-14,AMC THEATRES #1228,18.24,Entertainment
95,2026-05-16,KFC #6799,52.28,Food
96,2025-06-20,PIZZA HUT 5533,45.51,Food
97,2026-02-16,AMBULANCE SVC 05310,24.4,Healthcare
98,2025-09-15,EXXON #4125,52.47,Transport
99,2026-03-07,PHYSICAL THERAPY 5009,464.38,Healthcare
100,2026-05-16,AMC THEATRES #4522,14.44,Entertainment
101,2025-12-07,UNIQLO 5754,77.85,Shopping
102,2026-05-11,TICKETMASTER 10371293,34.5,Entertainment
103,2025-06-24,SKILLSHARE PMT 37730,555.71,Education
104,2025-10-10,COMCAST #62730,173.84,Utilities
105,2026-01-22,MINT MOBILE 01039,97.99,Utilities
106,2025-06-13,NANDOS #5661,33.62,Food
107,2025-07-15,MACYS #3866,205.15,Shopping
108,2025-07-31,KINDLE STORE 530428,18.24,Entertainment
109,2026-04-13,PIZZA HUT 1139,33.58,Food
110,2025-07-07,GNC SUPPLEMENT 8924,257.29,Healthcare
111,2026-04-17,CODECADEMY PRO,532.91,Education
112,2026-04-11,LYFT *RIDE 36514,60.26,Transport
113,2025-06-17,ELECTRIC BILL 03856,94.13,Utilities
114,2026-04-24,PHYSICAL THERAPY 3312,122.94,Healthcare
115,2025-11-07,ELECTRIC BILL 16271,31.77,Utilities
116,2026-01-25,VERIZON WIRELESS,94.58,Utilities
117,2026-04-25,TUTORING SVC 4902,799.67,Education
118,2025-10-18,ETSY INC 9375973,123.72,Shopping
119,2025-05-29,ETSY INC 6092098,46.37,Shopping
120,2025-09-06,H&M #6349,46.29,Shopping
121,2025-09-11,WAYFAIR ORDER 3484587,1623.95,Housing
122,2025-10-21,MISCELLANEOUS 1091,86.78,Ambiguous
123,2025-12-23,PAYMENT 560356,34.54,Ambiguous
124,2026-04-24,PANERA BREAD 6856,75.62,Food
125,2026-05-09,UBER EATS 15867,45.01,Food
126,2025-12-25,DIRECTV 603242,153.16,Utilities
127,2025-11-19,SHERWIN WILLIAMS 8842,1789.98,Housing
128,2025-05-31,NORDSTROM #1715,186.78,Shopping
129,2025-10-16,TOTAL GAS 0050,31.62,Transport
130,2026-01-26,TRUE VALUE HW 124,1794.41,Housing
131,2026-04-26,LOCAL BAKERY 501,75.9,Food
132,2025-11-05,ENTERPRISE RENT-A-CAR 1651,146.07,Transport
133,2026-04-09,STUDENT LOAN PMT 319213,457.67,Education
134,2025-12-15,UBER TRIP 3353,71.49,Transport
135,2025-11-01,PRET A MANGER 474,78.17,Food
136,2026-04-29,GNC SUPPLEMENT 6539,136.68,Healthcare
137,2026-03-31,COSTCO WHSE #1187,128.07,Shopping
138,2025-06-22,KINDLE STORE 769367,32.51,Entertainment
139,2026-01-15,WALMART #2897,278.38,Shopping
140,2025-12-26,DOMINOS PIZZA 038,53.02,Food
141,2025-10-11,T-MOBILE 631752,151.86,Utilities
142,2025-10-18,TICKETMASTER 43699577,42.52,Entertainment
143,2025-06-15,RECURRING CHG 12172,23.21,Ambiguous
144,2025-10-08,MASTERCLASS SUB,352.05,Education
145,2025-06-13,MARSHALLS #8481,70.26,Shopping
146,2025-09-20,ZARA 4705,389.7,Shopping
147,2026-01-22,SCHOOL SUPPLIES 1756,515.13,Education
148,2026-03-14,DIRECTV 517187,57.77,Utilities
149,2025-11-26,UNIVERSITY TUITION 60465,725.54,Education
150,2025-07-31,PEARSON EBOOK 421024,195.35,Education
151,2026-01-13,SKILLSHARE PMT 23046,446.88,Education
152,2026-02-12,SPECTRUM 96908,236.18,Utilities
153,2025-08-15,PEARSON EBOOK 755394,79.3,Education
154,2026-04-14,SEWAGE SVC 9245,124.74,Utilities
155,2025-10-14,VISION CENTER #908,268.7,Healthcare
156,2025-07-03,ADIDAS #803397,391.16,Shopping
157,2026-03-29,MENARDS #6230,1369.34,Housing
158,2025-12-20,AUDIBLE CHARGE,9.85,Entertainment
159,2025-08-23,VISION CENTER #769,309.09,Healthcare
160,2025-08-13,BEST BUY #6442,269.56,Shopping
161,2026-03-27,NORDSTROM #1015,240.68,Shopping
162,2025-11-13,PLURALSIGHT 7844683,162.82,Education
163,2026-01-11,KINDLE STORE 359774,15.76,Entertainment
164,2026-04-19,HOA FEE 2906,1017.44,Housing
165,2025-08-15,CHECKCARD 178522,409.56,Ambiguous
166,2025-06-05,UDEMY COURSE 1775095,382.52,Education
167,2026-05-14,CITY BUS PASS 531,39.93,Transport
168,2025-05-20,MORTGAGE PMT 49915,1790.46,Housing
169,2026-02-08,SECURITY DEPOSIT 08583,1761.87,Housing
170,2025-11-10,LOWES #0209,393.61,Housing
171,2026-01-23,COMCAST #43380,204.57,Utilities
172,2025-07-16,STUBHUB #8425476,42.35,Entertainment
173,2025-08-20,GAS UTILITY 85977,120.91,Utilities
174,2025-06-26,PARKRIGHT 77749,29.84,Transport
175,2025-10-23,SUNOCO #2421,21.36,Transport
176,2026-02-07,NIKE.COM 63956137,375.4,Shopping
177,2025-06-08,TARGET #9177,305.29,Shopping
178,2025-06-10,NIKE.COM 83583286,34.75,Shopping
179,2025-10-16,PLAYSTATION STORE,37.39,Entertainment
180,2026-01-17,DUOLINGO PLUS,659.29,Education
181,2026-01-31,HEALTH INS PMT 62895,127.79,Healthcare
182,2025-07-08,ENTERPRISE RENT-A-CAR 8567,18.87,Transport
183,2026-01-13,DISH NETWORK 66270,39.6,Utilities
184,2026-01-21,APPLE.COM/BILL,307.71,Shopping
185,2025-09-05,KHAN ACADEMY,326.45,Education
186,2025-06-16,GOOGLE FI 715182,63.19,Utilities
187,2026-02-27,TARGET #7996,306.7,Shopping
188,2025-11-13,SPOTIFY 36661449,26.29,Entertainment
189,2025-12-14,PLAYSTATION STORE,21.73,Entertainment
190,2025-08-17,MACYS #8417,152.15,Shopping
191,2026-04-27,REGAL CINEMA 3468,34.13,Entertainment
192,2026-05-06,WASTE MGMT 22946,63.98,Utilities
193,2025-05-23,BURGER KING #032,78.46,Food
194,2025-07-15,TOTAL GAS 3395,130.87,Transport
195,2025-09-13,IKEA 619399,415.53,Housing
196,2026-05-15,HEALTH INS PMT 21117,350.48,Healthcare
197,2025-12-20,H&M #8147,329.9,Shopping
198,2026-03-14,DOMINOS PIZZA 797,12.78,Food
199,2026-01-27,ZARA 9389,72.62,Shopping
200,2025-08-13,TWITCH.TV SUB 99468,35.48,Entertainment
201,2026-04-24,MINT MOBILE 14139,46.09,Utilities
202,2025-07-16,AETNA COPAY 03399,471.67,Healthcare
203,2025-12-27,WENDYS #5238,48.09,Food
204,2026-03-03,NORDSTROM #9023,164.46,Shopping
205,2025-09-26,PP*223989830,456.24,Ambiguous
206,2026-03-03,HEALTH INS PMT 08027,289.32,Healthcare
207,2025-05-19,PIZZA HUT 2654,25.86,Food
208,2026-05-10,PANERA BREAD 1928,55.26,Food
209,2025-07-11,KHAN ACADEMY,142.49,Education
210,2025-06-11,AMTRAK TKT 238061,103.61,Transport
211,2025-11-06,MACYS #4948,321.15,Shopping
212,2026-02-14,SCHOOL SUPPLIES 6959,217.83,Education
213,2025-06-06,DISH NETWORK 38860,211.94,Utilities
214,2025-08-06,EXXON #8809,29.7,Transport
215,2025-08-09,NANDOS #2869,16.01,Food
216,2025-06-28,PHYSICAL THERAPY 1254,461.47,Healthcare
217,2026-05-01,ESPN+ SUBSCRIPTION,28.45,Entertainment
218,2025-11-04,BEST BUY #0752,270.59,Shopping
219,2025-12-02,KHAN ACADEMY,179.28,Education
220,2025-07-10,AMC THEATRES #9817,32.54,Entertainment
221,2025-08-25,TJ MAXX #7927,85.13,Shopping
222,2025-07-28,MENTAL HLTH SVCS 2960,28.57,Healthcare
223,2025-06-25,KHAN ACADEMY,657.34,Education
224,2025-09-01,SHERWIN WILLIAMS 9043,480.99,Housing
225,2026-04-29,FIVE GUYS 784,67.45,Food
226,2025-08-16,CVS PHARMACY #5376,119.97,Healthcare
227,2026-04-03,HOSPITAL BILL 792904,141.31,Healthcare
228,2026-03-29,MASTERCLASS SUB,708.69,Education
229,2026-03-13,GNC SUPPLEMENT 6958,416.08,Healthcare
230,2025-11-19,STUBHUB #8438458,37.09,Entertainment
231,2025-11-17,GOOGLE FI 072081,204.81,Utilities
232,2026-01-18,TJ MAXX #4989,84.7,Shopping
233,2025-09-13,EVENTBRITE 433200,20.08,Entertainment
234,2025-09-15,BP FUEL 5996,145.28,Transport
235,2026-04-17,ENTERPRISE RENT-A-CAR 1952,42.24,Transport
236,2026-03-20,SHELL PETROL STN 953,149.66,Transport
237,2025-10-03,HOME DEPOT #5868,1480.85,Housing
238,2026-01-02,AMTRAK TKT 420495,77.74,Transport
239,2025-09-29,ACE HARDWARE 0539,1264.85,Housing
240,2025-07-01,MACYS #9986,39.93,Shopping
241,2025-05-17,SHELL PETROL STN 482,30.46,Transport
242,2025-10-11,TACO BELL #316,54.59,Food
243,2025-07-28,GREYHOUND BUS 02845,90.37,Transport
244,2025-10-05,T-MOBILE 950136,44.52,Utilities
245,2026-03-20,GAS UTILITY 84822,215.55,Utilities
246,2025-07-02,UDEMY COURSE 9036890,205.77,Education
247,2025-06-17,SHEIN ORDER 8638782,103.13,Shopping
248,2025-06-15,RITE AID #0537,61.21,Healthcare
249,2025-08-18,MORTGAGE PMT 33613,822.8,Housing
250,2026-02-07,ADIDAS #215454,122.94,Shopping
251,2026-03-29,NETFLIX.COM,19.72,Entertainment
252,2025-08-07,FIVE GUYS 764,59.68,Food
253,2025-08-29,PLURALSIGHT 6268040,54.64,Education
254,2025-08-20,CHECKCARD 409112,197.0,Ambiguous
255,2026-02-13,PP*817941515,252.73,Ambiguous
256,2025-10-25,PHYSICAL THERAPY 4899,310.29,Healthcare
257,2025-08-02,UBER EATS 35784,72.87,Food
258,2025-06-23,ZIPCAR 78108,73.69,Transport
259,2025-11-09,LABCORP 6185790,168.84,Healthcare
260,2025-12-31,UDEMY COURSE 2311127,562.88,Education
261,2026-04-27,CHEGG STUDY 485959,581.56,Education
262,2025-09-13,BOOKING.COM 7280512,1630.3,Housing
263,2025-12-27,PLUMBER SVC 7434,375.85,Housing
264,2026-03-04,HOSPITAL BILL 825080,377.71,Healthcare
265,2025-05-30,BP FUEL 2564,69.75,Transport
266,2025-11-27,PARKRIGHT 86334,61.54,Transport
267,2026-03-25,COMMUNITY COLLEGE 4484,422.96,Education
268,2026-02-03,KOHLS #8116,286.46,Shopping
269,2025-10-14,AMTRAK TKT 485708,30.01,Transport
270,2025-05-22,HERTZ #28123,26.07,Transport
271,2026-01-20,DOORDASH *FOOD 5097,71.94,Food
272,2026-02-19,UBER EATS 44736,71.67,Food
273,2025-06-20,SUBWAY #023,70.24,Food
274,2025-10-01,CIGNA PREMIUM 75410,439.57,Healthcare
275,2026-02-26,BOOKING.COM 2513534,1532.82,Housing
276,2025-11-08,TRANSFER 00462776,198.44,Ambiguous
277,2025-11-11,TACO BELL #579,25.53,Food
278,2026-04-01,STEAM GAMES 11080996,38.01,Entertainment
279,2026-04-17,LYFT *RIDE 39111,141.27,Transport
280,2026-01-07,WALMART #9417,216.4,Shopping
281,2025-11-03,SPOTIFY 11426258,31.69,Entertainment
282,2025-07-27,RENT PMT FEB 3109,549.71,Housing
283,2025-10-26,SKILLSHARE PMT 15627,157.43,Education
284,2026-02-18,WATER UTILITY 43905,99.13,Utilities
285,2026-03-06,PANERA BREAD 1266,59.45,Food
286,2025-05-19,TWITCH.TV SUB 50150,13.29,Entertainment
287,2025-07-15,KHAN ACADEMY,27.22,Education
288,2025-08-02,BOOKING.COM 4620952,1606.12,Housing
289,2025-12-13,ETSY INC 0932048,154.57,Shopping
290,2025-06-26,REGAL CINEMA 0166,18.5,Entertainment
291,2025-08-28,MENTAL HLTH SVCS 5494,114.77,Healthcare
292,2025-09-13,SOLAR PANEL PMT 04483,120.64,Utilities
293,2026-04-01,WENDYS #958,42.98,Food
294,2025-11-26,AMAZON.COM*251538144,174.86,Shopping
295,2025-10-28,UDEMY COURSE 4566766,458.56,Education
296,2025-07-09,HERTZ #58148,124.09,Transport
297,2026-04-30,LANDLORD TRANSFER 632945,1019.74,Housing
298,2025-10-29,SHELL PETROL STN 797,42.53,Transport
299,2026-03-09,AMTRAK TKT 847139,102.32,Transport
300,2026-01-14,CITY MEDICAL CTR 7434,450.15,Healthcare
301,2025-05-28,HBO MAX 937618,6.61,Entertainment
302,2026-04-08,LINKEDIN LRN 462879,25.16,Education
303,2025-09-27,BP FUEL 2117,28.14,Transport
304,2026-02-15,VERIZON WIRELESS,74.45,Utilities
305,2025-07-25,LYFT *RIDE 25579,9.37,Transport
306,2025-07-13,GNC SUPPLEMENT 9374,244.68,Healthcare
307,2025-12-19,LINKEDIN LRN 273715,91.95,Education
308,2025-06-16,PROPERTY MGMT 6650,771.39,Housing
309,2026-03-14,WAYFAIR ORDER 2312604,1987.34,Housing
310,2026-02-06,KOHLS #7571,315.87,Shopping
311,2026-03-06,SEWAGE SVC 4353,89.22,Utilities
312,2025-07-12,AUDIBLE CHARGE,15.24,Entertainment
313,2025-12-20,TICKETMASTER 44886946,12.46,Entertainment
314,2026-05-07,DOMINOS PIZZA 768,35.99,Food
315,2026-03-27,RENT PMT AUG 9966,1046.31,Housing
316,2025-12-19,ONLINE PMT 0104246,159.47,Ambiguous
317,2025-06-10,YOUTUBE PREMIUM,48.7,Entertainment
318,2025-12-05,SHELL PETROL STN 854,63.11,Transport
319,2025-07-23,NIKE.COM 61499153,147.98,Shopping
320,2025-08-13,HBO MAX 642506,17.91,Entertainment
321,2025-06-12,STUBHUB #7977961,17.11,Entertainment
322,2026-01-20,HBO MAX 599801,39.32,Entertainment
323,2025-12-09,TOTAL GAS 1919,33.02,Transport
324,2026-03-23,KINDLE STORE 404389,32.04,Entertainment
325,2025-09-15,PLUMBER SVC 2735,927.41,Housing
326,2026-02-02,EDX COURSE 573278,92.5,Education
327,2026-04-27,TJ MAXX #0335,84.32,Shopping
328,2025-11-01,EXXON #0110,11.37,Transport
329,2026-01-05,WALMART #1162,83.46,Shopping
330,2026-03-31,VERIZON WIRELESS,225.27,Utilities
331,2025-07-16,GOOGLE FI 820433,227.31,Utilities
332,2026-04-20,FIVE GUYS 804,48.73,Food
333,2025-11-02,CIGNA PREMIUM 15109,52.0,Healthcare
334,2025-09-09,DISNEY+ 3036541,18.73,Entertainment
335,2026-02-14,PLUMBER SVC 5760,1816.5,Housing
336,2025-12-04,EXXON #5965,51.26,Transport
337,2025-12-03,TESLA SUPERCHARGER 6930,60.2,Transport
338,2026-02-06,AMAZON.COM*319971791,330.44,Shopping
339,2026-05-09,ADIDAS #599293,21.0,Shopping
340,2025-07-17,GOOGLE FI 788479,145.87,Utilities
341,2026-05-10,SQ *11145768,220.96,Ambiguous
